P_max,Omega,Gamma_e,Delta_1,number_of_fails,ComputTime
0.0001589875953887,0.239923249170319,0.01584893,3.6,0,715.52259683609
0.0001502217222672,0.240008918259217,0.01584893,3.7,0,584.549260616303
0.0001421716684074,0.240094943784051,0.01584893,3.8,0,724.773355007172
0.0001347492428187,0.240168955223763,0.01584893,3.9,0,632.428709506989
0.0001279057937298,0.240248271969221,0.01584893,4.0,0,560.365385770798
0.0001215890077463,0.240337854205832,0.01584893,4.1,0,622.893427371979
0.0001157159614024,0.240403299109304,0.01584893,4.2,0,724.080651044846
0.0001102774860784,0.240486044242312,0.01584893,4.3,0,670.194543361664
0.0001052059391663,0.240551336762499,0.01584893,4.4,0,720.41081571579
0.000100487079573,0.240625248530244,0.01584893,4.5,0,658.790425777435
9.60841217844783e-05,0.240700655430698,0.01584893,4.6,0,717.733885526657
9.19637118949624e-05,0.240768992761451,0.01584893,4.7,0,702.892484426498
8.81059515898671e-05,0.240836762710273,0.01584893,4.8,0,699.48249912262
8.44877628063253e-05,0.240902214126475,0.01584893,4.9,0,702.200052261353
8.10856480585539e-05,0.240958648869897,0.01584893,5.0,0,613.136027097702
0.0507373554434022,0.0912527699081674,0.01778279,0.0,0,548.565898895264
0.041185700420146,0.235860186592072,0.01778279,0.1,0,644.028203725815
0.0319994153173418,0.258231328543039,0.01778279,0.2,0,651.688026189804
0.0228382539045114,0.259744632896946,0.01778279,0.3,0,619.18549823761
0.01616153764317,0.260792386143211,0.01778279,0.4,0,553.288487434387
0.0118063590469847,0.261619478207032,0.01778279,0.5,0,576.711848020554
0.0088797540701647,0.262294036263912,0.01778279,0.6,0,720.458649873734
0.0068077772640955,0.262860203498426,0.01778279,0.7,0,645.862727165222
0.0053037025398216,0.263350486288328,0.01778279,0.8,0,669.373763799667
0.0041998328474756,0.263776804952707,0.01778279,0.9,0,609.490704298019
0.0033808120424831,0.264158049283073,0.01778279,1.0,0,551.845872879028
0.0027648442783905,0.264511396925098,0.01778279,1.1,0,695.317195892334
0.0022940153501467,0.264827534913926,0.01778279,1.2,0,706.375529289246
0.0019284997517306,0.265117511593262,0.01778279,1.3,0,636.418803691864
0.0016405120501465,0.265382570154705,0.01778279,1.4,0,698.849244832993
0.0014104858374398,0.265634296629538,0.01778279,1.5,0,593.744748592377
0.0012243486164052,0.265858668848439,0.01778279,1.6,0,623.072808265686
0.0010720790344026,0.266079312578452,0.01778279,1.7,0,667.224862337112
0.0009461749845308,0.26629506978841,0.01778279,1.8,0,555.115596055985
0.0008408790532631,0.266481794100514,0.01778279,1.9,0,666.674822568893
0.0007521602811799,0.266676437756694,0.01778279,2.0,0,671.023582220078
0.0006766673301087,0.266845571967042,0.01778279,2.1,0,619.301617622376
0.0006120048271633,0.26701748261806,0.01778279,2.2,0,651.49036026001
0.0005561671844561,0.267170858063748,0.01778279,2.3,0,691.675744056702
0.0005076664475915,0.267327080522449,0.01778279,2.4,0,557.590924501419
0.0004652849136084,0.267474531490168,0.01778279,2.5,0,614.53271150589
0.0004280286759208,0.26761967838191,0.01778279,2.6,0,677.805650472641
0.0003950540691005,0.267741966636273,0.01778279,2.7,0,606.492595434189
0.0003658148328018,0.267875192945067,0.01778279,2.8,0,609.810393810272
0.0003397125612836,0.26799163548582,0.01778279,2.9,0,558.399018526077
0.0003163640578942,0.26812226673454,0.01778279,3.0,0,627.600699186325
0.0002953562991293,0.268244995011986,0.01778279,3.1,0,613.934456110001
0.0002763931015118,0.268364317492582,0.01778279,3.2,0,707.85416841507
0.0002591983385023,0.268468535128244,0.01778279,3.3,0,703.224078178406
0.0002435990194474,0.268580726809253,0.01778279,3.4,0,582.520083189011
0.0002293659885357,0.268679581907145,0.01778279,3.5,0,577.567780733109
0.0002163737696302,0.268788127733881,0.01778279,3.6,0,569.735818624497
0.0002044528108248,0.268883202428814,0.01778279,3.7,0,583.511069774628
0.0001934957037246,0.268971942711171,0.01778279,3.8,0,598.096679925919
0.0001834226802363,0.269073786101852,0.01778279,3.9,0,690.147707223892
0.0001741110617761,0.269160751546486,0.01778279,4.0,0,660.909862995148
0.0001655024651437,0.269249925181876,0.01778279,4.1,0,638.147938251495
0.0001575246718341,0.26933832249195,0.01778279,4.2,0,667.13903594017
0.0001501137422355,0.269422294766586,0.01778279,4.3,0,697.028649091721
0.0001432209360649,0.269504889464463,0.01778279,4.4,0,735.295524835587
0.0001367924698883,0.269579685666627,0.01778279,4.5,0,653.325451612473
0.0001307919750543,0.269653540799935,0.01778279,4.6,0,717.717918872833
0.0001251925362729,0.269739904493707,0.01778279,4.7,0,724.942219495773
0.0001199412520813,0.269814457803458,0.01778279,4.8,0,643.575426101685
0.0001150166975946,0.269887508632323,0.01778279,4.9,0,668.867814540863
0.0001103914648929,0.269958078039979,0.01778279,5.0,0,753.542113542557
0.0551462657194713,0.0988994522870551,0.01995262,0.0,0,655.00908946991
0.045548194363753,0.243077935522669,0.01995262,0.1,0,643.798606395721
0.0366944932776652,0.289262533829037,0.01995262,0.2,0,639.180936574936
0.0272713203908198,0.29095467813495,0.01995262,0.3,0,582.234372377396
0.0197604013284582,0.292142867480892,0.01995262,0.4,0,595.260154724121
0.0146051746674992,0.293065736912023,0.01995262,0.5,0,592.153779983521
0.0111255029078664,0.293829171873285,0.01995262,0.6,0,658.830855369568
0.0086595801744655,0.294458133253669,0.01995262,0.7,0,580.714304447174
0.0068418250763381,0.295012410782808,0.01995262,0.8,0,689.490975379944
0.0054773387905381,0.295490423496013,0.01995262,0.9,0,675.952157497406
0.0044447621907414,0.295920479227398,0.01995262,1.0,0,636.260970592499
0.0036562988440202,0.296309574232222,0.01995262,1.1,0,690.360845804215
0.0030474086147318,0.296671003561908,0.01995262,1.2,0,730.354614496231
0.0025709371213572,0.296994581014463,0.01995262,1.3,0,633.233583688736
0.0021932602299151,0.297292918566427,0.01995262,1.4,0,620.43727850914
0.0018901653695919,0.297581297876634,0.01995262,1.5,0,723.006792068481
0.0016438807708266,0.297841587091202,0.01995262,1.6,0,716.155568122864
0.0014415262357452,0.29807939358494,0.01995262,1.7,0,659.500643491745
0.0012737191129146,0.298318797099259,0.01995262,1.8,0,694.631761550903
0.0011331362733096,0.298538791938308,0.01995262,1.9,0,601.890986204147
0.0010143554733734,0.298745524877001,0.01995262,2.0,0,583.067205190659
0.0009131017288757,0.298932389563581,0.01995262,2.1,0,566.748648166657
0.0008263446959427,0.299132610487081,0.01995262,2.2,0,576.493840694428
0.0007513026328016,0.299315002489483,0.01995262,2.3,0,671.951408863068
0.0006860351919212,0.29947962790003,0.01995262,2.4,0,587.564649581909
0.0006289602292184,0.29965093267033,0.01995262,2.5,0,674.776765823364
0.0005787252155034,0.299808093486446,0.01995262,2.6,0,590.135800600052
0.0005343323449644,0.299963514146997,0.01995262,2.7,0,670.494862318039
0.0004948639677479,0.300106946234224,0.01995262,2.8,0,691.807663202286
0.0004596437275264,0.300248434007249,0.01995262,2.9,0,687.603149414063
0.0004280882181648,0.300387081900135,0.01995262,3.0,0,688.154072761536
0.000399694897445,0.300514189839943,0.01995262,3.1,0,699.032683134079
0.0003740769749983,0.300647305284272,0.01995262,3.2,0,649.359401226044
0.0003508573452189,0.300771997643649,0.01995262,3.3,0,640.893404245377
0.0003297475037367,0.300889985105742,0.01995262,3.4,0,619.784940004349
0.000310511656166,0.301009284668638,0.01995262,3.5,0,673.210124969482
0.0002929170535766,0.301119227118554,0.01995262,3.6,0,677.969271421433
0.0002768040506362,0.301232771067943,0.01995262,3.7,0,554.962507247925
0.000261991325706,0.30133691011605,0.01995262,3.8,0,751.120522737503
0.0002483514321075,0.30144119085742,0.01995262,3.9,0,709.859367370606
0.0002357580100024,0.301541521088362,0.01995262,4.0,0,620.343288898468
0.0002241105776771,0.301641686323357,0.01995262,4.1,0,611.434967756271
0.0002133092527912,0.301735630909366,0.01995262,4.2,0,582.278926372528
0.0002032865679055,0.301835417593827,0.01995262,4.3,0,594.194758653641
0.0001939544559269,0.30192682621625,0.01995262,4.4,0,650.905123710632
0.0001852580490907,0.30201771454257,0.01995262,4.5,0,644.69482254982
0.0001771301549628,0.302097218654953,0.01995262,4.6,0,659.040551185608
0.0001695463580621,0.302192380371296,0.01995262,4.7,0,657.193169593811
0.0001624303008727,0.302269893966319,0.01995262,4.8,0,706.363155126572
0.0001557683643549,0.302359338729235,0.01995262,4.9,0,723.834577798843
0.0001495023762668,0.302435261567598,0.01995262,5.0,0,764.882083654404
0.0598711141419786,0.107485596202221,0.02238721,0.0,0,568.914785146713
0.0503079405101744,0.250275286789934,0.02238721,0.1,0,547.610721588135
0.0417388444784546,0.324028439137502,0.02238721,0.2,0,654.756505966187
0.0322620932504589,0.325912642974046,0.02238721,0.3,0,687.084156036377
