P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,Delta1,Delta2,number_of_fails,ComputTime
0.0006248247764921,1.03391067916313,26.8807954443082,1.02374483461072,0.0,0.01,16.5,-16.5,1,46586.0909614563
0.0006210630684077,1.03391349922875,27.0437380514093,1.02360153937878,0.0,0.01,16.6,-16.6,1,67828.1087119579
0.0006173463802978,1.03391512253855,27.2066061534057,1.02346058104413,0.0,0.01,16.7,-16.7,2,5392.59058690071
0.0007233449979398,1.03216360444862,47.4292392886465,1.20020003002917,0.197535289735344,0.01,16.8,-16.8,0,3205.46024870873
0.0006100448696693,1.03392246519614,27.5324958820778,1.02317862435269,0.0,0.01,16.9,-16.9,1,77321.8948104382
0.0006064584969168,1.03392194523053,27.6954496925915,1.02304215893725,0.0,0.01,17.0,-17.0,0,32343.1826138496
0.0007142292842365,1.03376990598619,47.7701066942329,1.10159949059627,0.101497840286186,0.01,17.1,-17.1,0,75988.856294632
0.0005994107760514,1.03392935466001,28.0213315164428,1.02277173450373,0.0,0.01,17.2,-17.2,2,48478.1683623791
0.0005959479835927,1.03393098578479,28.1842076235814,1.02264171367612,0.0,0.01,17.3,-17.3,2,5533.13847875595
0.0007019301342974,1.03377931494434,48.6079736762032,1.09984907349602,0.0997536545389812,0.01,17.4,-17.4,1,4094.33142781258
0.0005891410474652,1.0339286787286,28.5100904604909,1.0223840396365,0.0,0.01,17.5,-17.5,1,63798.9053995609
0.000585795556458,1.03393557417243,28.6730360784604,1.02225497212854,0.0,0.01,17.6,-17.6,1,105659.836915493
0.0006900473539356,1.03379152936681,49.4458571204298,1.09815852170627,0.0980691451756509,0.01,17.7,-17.7,1,39923.9138963223
0.0005792172736278,1.03393989086201,28.9988485501729,1.02200254312029,0.0,0.01,17.8,-17.8,2,6512.48511815071
0.0005759832234551,1.03394147609941,29.1617950580913,1.02187905489254,0.0,0.01,17.9,-17.9,0,3678.73614120483
0.0006785601539711,1.03380161692422,50.2837519074646,1.09652469832721,0.0964397205906054,0.01,18.0,-18.0,1,4231.0862994194
0.0005696222639104,1.03394825492626,29.4876393408136,1.02163478808459,0.0,0.01,18.1,-18.1,0,75527.4167101383
0.0005664941779511,1.03395025939926,29.6506003248084,1.02151318411216,0.0,0.01,18.2,-18.2,2,72777.6750249863
0.0006674491064054,1.03381392903644,51.1216267513628,1.09494075249715,0.0948643850603606,0.01,18.3,-18.3,0,68441.4004530907
0.0005603399480263,1.033952340226,29.9764952409005,1.0212789488422,0.0,0.01,18.4,-18.4,1,27412.5770800114
0.0005573127027,1.03395097938813,30.1393900769452,1.02116427579014,0.0,0.01,18.5,-18.5,1,5492.55217385292
0.0006566960348726,1.03382315151882,51.9594916109078,1.09341461549943,0.0933396577143073,0.01,18.6,-18.6,0,3051.28764891624
0.000551355286204,1.03395816711449,30.4652801977571,1.02093492493355,0.0,0.01,18.7,-18.7,0,37312.0677132607
0.0005484240829856,1.03395782110273,30.6281622113414,1.02082655721071,0.0,0.01,18.8,-18.8,2,75106.2296676636
